No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"80","500800","Tata Consumer Products Limited","1.18T","1,188.90","1.51%","187.97B"
"81","532822","Vodafone Idea Limited","1.17T","10.83","-2.26%","442.28B"
"82","500400","Tata Power Company Limited","1.17T","366.10","-0.37%","660.67B"
"83","532725","Solar Industries India Limited","1.16T","12,835.0","-0.39%","83.76B"
"84","532814","Indian Bank","1.15T","852.10","0.64%","330.55B"
"85","534816","Indus Towers Limited","1.14T","433.85","-1.02%","315.20B"
"86","500182","Hero MotoCorp Limited","1.13T","5,650.45","-0.34%","421.76B"
"87","500087","Cipla Limited","1.13T","1,397.95","-2.56%","279.66B"
"88","500480","Cummins India Limited","1.13T","4,060.30","0.76%","116.44B"
"89","500116","IDBI Bank Limited","1.12T","104.55","-0.29%","178.92B"
"90","541729","HDFC Asset Management Company Limited","1.11T","2,554.60","2.62%","45.85B"
"91","539254","Adani Energy Solutions Limited","1.09T","907.65","-1.68%","256.20B"
"92","500530","Bosch Limited","1.09T","36,833.2","-1.64%","187.65B"
"93","500477","Ashok Leyland Limited","1.08T","184.15","-1.45%","509.76B"
"94","532155","GAIL (India) Limited","1.08T","164.20","-0.61%","1.44T"
"95","542652","Polycab India Limited","1.07T","7,130.95","-2.60%","270.05B"
"96","543287","Lodha Developers Limited","1.07T","1,070.50","1.12%","157.56B"
"97","544603","Billionbrains Garage Ventures Limited","1.07T","162.80","2.42%","40.45B"
"98","532286","Jindal Steel Limited","1.06T","1,042.70","0.22%","489.14B"
"99","532754","GMR Airports Limited","1.05T","100.00","0.40%","123.92B"
"100","508869","Apollo Hospitals Enterprise Limited","1.04T","7,235.90","-0.48%","232.65B"
"101","500550","Siemens Limited","1.04T","2,920.85","-1.74%","228.08B"
"102","500002","ABB India Limited","1.03T","4,867.15","-1.33%","130.11B"
"103","543220","Max Healthcare Institute Limited","1.01T","1,036.55","0.36%","79.41B"
"104","500387","Shree Cement Limited","1.00T","27,833.9","0.97%","201.47B"
"105","500257","Lupin Limited","994.11B","2,176.25","-0.85%","247.51B"
"106","543237","Mazagon Dock Shipbuilders Limited","987.07B","2,446.85","-0.98%","118.73B"
"107","531642","Marico Limited","986.16B","759.70","1.40%","122.65B"
"108","540133","ICICI Prudential Life Insurance Company Limited","981.65B","677.95","1.30%","761.03B"
"109","500124","Dr. Reddy's Laboratories Limited","978.68B","1,175.55","-0.92%","342.15B"
"110","532955","REC Limited","976.93B","370.90","0.30%","237.41B"
