No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"75","4307","Nomura Research Institute, Ltd.","3.44T","5,997.00","-2.49%","785.10B"
"76","1925","Daiwa House Industry Co., Ltd.","3.38T","5,469.00","0.02%","5.41T"
"77","3659","NEXON Co., Ltd.","3.33T","4,214.00","0.02%","431.23B"
"78","2802","Ajinomoto Co., Inc.","3.32T","3,444.00","0.32%","1.53T"
"79","5020","ENEOS Holdings, Inc.","3.31T","1,230.50","-0.04%","11.67T"
"80","6920","Lasertec Corporation","3.28T","36,590.0","2.12%","268.91B"
"81","4543","Terumo Corporation","3.25T","2,202.00","-1.70%","1.06T"
"82","6971","Kyocera Corporation","3.11T","2,301.50","1.28%","2.01T"
"83","1812","Kajima Corporation","3.10T","6,654.00","0.88%","2.96T"
"84","7936","ASICS Corporation","2.95T","4,157.00","0.58%","778.13B"
"85","9766","Konami Group Corporation","2.93T","21,630.0","-0.60%","462.36B"
"86","6326","Kubota Corporation","2.83T","2,517.00","2.26%","2.94T"
"87","9503","The Kansai Electric Power Company, Incorporated","2.82T","2,532.00","-1.09%","4.21T"
"88","4452","Kao Corporation","2.81T","6,207.00","-0.96%","1.67T"
"89","4689","LY Corporation","2.77T","403.70","-2.13%","1.99T"
"90","7832","BANDAI NAMCO Holdings Inc.","2.70T","4,172.00","-0.74%","1.27T"
"91","1801","Taisei Corporation","2.69T","16,485.0","-1.55%","2.11T"
"92","7532","Pan Pacific International Holdings Corporation","2.66T","889.70","-1.64%","2.27T"
"93","7270","Subaru Corporation","2.56T","3,575.00","0.17%","4.81T"
"94","6988","Nitto Denko Corporation","2.55T","3,785.00","0.08%","1.01T"
"95","1802","Obayashi Corporation","2.49T","3,621.00","0.58%","2.54T"
"96","8473","SBI Holdings, Inc.","2.49T","3,808.00","-0.31%","1.67T"
"97","6594","Nidec Corporation","2.47T","2,153.00","0.66%","2.62T"
"98","4507","Shionogi & Co., Ltd.","2.44T","2,862.50","-2.57%","437.26B"
"99","4612","Nippon Paint Holdings Co., Ltd.","2.43T","1,044.00","-1.37%","1.73T"
"100","5016","JX Advanced Metals Corporation","2.42T","2,609.50","1.97%","774.32B"
"101","2502","Asahi Group Holdings, Ltd.","2.41T","1,645.50","-0.39%","2.92T"
"102","1928","Sekisui House, Ltd.","2.36T","3,647.00","0.44%","4.13T"
"103","9735","SECOM CO., LTD.","2.35T","5,822.00","0.50%","1.23T"
"104","7012","Kawasaki Heavy Industries, Ltd.","2.33T","13,965.0","0.43%","2.24T"
"105","7733","Olympus Corporation","2.25T","2,043.00","-1.45%","977.65B"
"106","9531","Tokyo Gas Co.,Ltd.","2.22T","6,544.00","0.46%","2.76T"
"107","7259","Aisin Corporation","2.22T","3,066.00","-0.55%","5.02T"
"108","6361","Ebara Corporation","2.22T","4,862.00","2.04%","925.89B"
"109","4062","Ibiden Co.,Ltd.","2.19T","7,835.00","4.72%","383.34B"
"110","8601","Daiwa Securities Group Inc.","2.17T","1,560.00","-0.16%","784.29B"
"111","9532","Osaka Gas Co., Ltd.","2.16T","5,580.00","0.27%","2.08T"
"112","4755","Rakuten Group, Inc.","2.13T","981.00","-2.78%","2.45T"
"113","9101","Nippon Yusen Kabushiki Kaisha","2.12T","5,150.00","-3.99%","2.45T"
"114","4091","Nippon Sanso Holdings Corporation","2.11T","4,870.00","-1.72%","1.32T"
"115","5713","Sumitomo Metal Mining Co., Ltd.","2.10T","7,770.00","-1.02%","1.58T"
"116","4684","OBIC Co.,Ltd.","2.08T","4,767.00","-1.81%","127.85B"
"117","3407","Asahi Kasei Corporation","2.06T","1,514.50","1.58%","3.03T"
"118","6383","Daifuku Co., Ltd.","2.06T","5,589.00","1.66%","737.32B"
"119","9435","Hikari Tsushin, Inc.","2.00T","45,430.0","-0.11%","722.47B"
"120","1803","Shimizu Corporation","1.97T","2,918.50","0.41%","2.00T"
"121","8593","Mitsubishi HC Capital Inc.","1.97T","1,372.50","-0.94%","2.15T"
"122","2503","Kirin Holdings Company, Limited","1.94T","2,399.00","-0.08%","2.39T"
"123","8795","T&D Holdings, Inc.","1.93T","3,979.00","0.86%","2.55T"
"124","8303","SBI Shinsei Bank, Limited","1.88T","2,125.00","4.63%","427.02B"
"125","7181","Japan Post Insurance Co., Ltd.","1.86T","5,183.00","-0.04%","3.09T"
"126","7202","Isuzu Motors Limited","1.84T","2,676.50","1.52%","3.34T"
"127","6504","Fuji Electric Co., Ltd.","1.83T","12,445.0","0.16%","1.17T"
"128","8697","Japan Exchange Group, Inc.","1.83T","1,781.00","-1.06%","169.74B"
"129","9719","SCSK Corporation","1.77T","5,666.00","-0.18%","715.82B"
"130","3402","Toray Industries, Inc.","1.70T","1,145.00","0.84%","2.50T"
"131","7735","SCREEN Holdings Co., Ltd.","1.69T","17,870.0","5.87%","622.17B"
"132","8421","Shinkin Central Bank","1.69T","193,800","0.16%","182.16B"
"133","7453","Ryohin Keikaku Co., Ltd.","1.68T","3,170.00","-1.98%","815.17B"
"134","9502","Chubu Electric Power Company, Incorporated","1.65T","2,179.00","-","3.65T"
"135","9104","Mitsui O.S.K. Lines, Ltd.","1.62T","4,718.00","-5.01%","1.74T"
"136","7186","Yokohama Financial Group, Inc.","1.60T","1,426.00","0.11%","356.64B"
"137","5019","Idemitsu Kosan Co.,Ltd.","1.58T","1,290.00","1.10%","8.49T"
"138","8113","Unicharm Corporation","1.57T","899.70","-1.99%","961.15B"
"139","9202","ANA Holdings Inc.","1.54T","3,045.00","-0.16%","2.35T"
"140","9697","Capcom Co., Ltd.","1.54T","3,670.00","-2.70%","194.35B"
"141","2587","Suntory Beverage & Food Limited","1.51T","4,902.00","0.68%","1.70T"
"142","1944","Kinden Corporation","1.50T","7,552.00","1.71%","728.40B"
"143","7201","Nissan Motor Co., Ltd.","1.49T","427.20","1.59%","12.23T"
"144","4716","Oracle Corporation Japan","1.49T","11,635.0","-5.83%","272.89B"
"145","9843","Nitori Holdings Co., Ltd.","1.48T","2,627.50","0.48%","922.17B"
"146","7309","Shimano Inc.","1.48T","17,065.0","0.50%","467.13B"
"147","8331","The Chiba Bank, Ltd.","1.46T","2,067.00","1.42%","296.08B"
"148","6525","Kokusai Electric Corporation","1.44T","6,188.00","-0.99%","241.59B"
"149","9021","West Japan Railway Company","1.43T","3,133.00","0.10%","1.77T"
"150","5831","Shizuoka Financial Group,Inc.","1.42T","2,641.00","0.38%","289.93B"
"151","2413","M3, Inc.","1.41T","2,085.00","-2.04%","330.97B"
"152","4004","Resonac Holdings Corporation","1.41T","7,772.00","8.97%","1.35T"
"153","9107","Kawasaki Kisen Kaisha, Ltd.","1.39T","2,202.00","-5.17%","1.01T"
"154","3003","Hulic Co., Ltd.","1.39T","1,828.50","-0.30%","700.85B"
"155","6506","YASKAWA Electric Corporation","1.38T","5,337.00","2.09%","539.22B"
"156","4188","Mitsubishi Chemical Group Corporation","1.38T","1,015.50","1.57%","3.96T"
"157","5334","Niterra Co., Ltd.","1.38T","6,959.00","0.07%","679.58B"
"158","5411","JFE Holdings, Inc.","1.37T","2,160.00","-0.39%","4.64T"
"159","9602","Toho Co., Ltd.","1.36T","8,013.00","-0.40%","360.37B"
"160","6841","Yokogawa Electric Corporation","1.35T","5,286.00","-0.45%","577.82B"
"161","4151","Kyowa Kirin Co., Ltd.","1.34T","2,567.00","0.27%","482.21B"
"162","7550","Zensho Holdings Co., Ltd.","1.34T","8,580.00","-1.68%","1.19T"
"163","6479","MINEBEA MITSUMI Inc.","1.34T","3,341.00","4.18%","1.52T"
"164","6586","Makita Corporation","1.32T","4,988.00","0.87%","745.11B"
"165","7911","TOPPAN Holdings Inc.","1.30T","4,598.00","0.48%","1.76T"
"166","8951","Nippon Building Fund Inc.","1.29T","149,300","1.50%","101.96B"
"167","2801","Kikkoman Corporation","1.29T","1,389.00","-1.10%","712.02B"
"168","9201","Japan Airlines Co., Ltd.","1.28T","2,965.50","-0.72%","1.93T"
"169","4523","Eisai Co., Ltd.","1.27T","4,515.00","-1.87%","804.39B"
"170","5706","Mitsui Kinzoku Company, Limited","1.27T","22,220.0","2.66%","728.53B"
"171","7701","Shimadzu Corporation","1.26T","4,361.00","0.16%","544.14B"
"172","2768","Sojitz Corporation","1.26T","6,050.00","0.22%","2.51T"
"173","7912","Dai Nippon Printing Co., Ltd.","1.23T","2,827.50","0.95%","1.49T"
"174","7272","Yamaha Motor Co., Ltd.","1.23T","1,268.00","-0.86%","2.51T"
"175","5838","Rakuten Bank, Ltd.","1.23T","7,042.00","-0.85%","173.21B"
"176","4768","Otsuka Corporation","1.22T","3,225.00","1.22%","1.29T"
"177","1942","Kandenko Co.,Ltd.","1.20T","5,885.00","3.30%","725.79B"
"178","5201","AGC Inc.","1.19T","5,606.00","2.37%","2.05T"
"179","8136","Sanrio Company, Ltd.","1.17T","4,805.00","-5.36%","169.77B"
"180","8729","Sony Financial Group Inc.","1.16T","169.40","-2.14%","2.88T"
"181","6305","Hitachi Construction Machinery Co., Ltd.","1.15T","5,421.00","1.63%","1.36T"
"182","3064","MonotaRO Co., Ltd.","1.14T","2,286.50","0.93%","318.01B"
"183","4204","Sekisui Chemical Co., Ltd.","1.14T","2,786.50","-2.21%","1.30T"
"184","3092","ZOZO, Inc.","1.10T","1,247.50","-2.20%","219.58B"
"185","7167","Mebuki Financial Group,Inc.","1.10T","1,166.00","1.92%","321.19B"
"186","3626","TIS Inc.","1.09T","4,885.00","-2.30%","584.65B"
"187","4506","Sumitomo Pharma Co., Ltd.","1.09T","2,750.00","-3.17%","445.21B"
"188","9501","Tokyo Electric Power Company Holdings, Incorporated","1.09T","681.50","-3.33%","6.61T"
"189","5333","NGK Insulators, Ltd.","1.09T","3,783.00","1.10%","647.37B"
"190","1911","Sumitomo Forestry Co., Ltd.","1.09T","1,775.50","0.88%","2.20T"
"191","2875","Toyo Suisan Kaisha, Ltd.","1.08T","10,980.0","-0.54%","517.98B"
"192","8354","Fukuoka Financial Group, Inc.","1.07T","5,671.00","0.12%","324.25B"
"193","3289","Tokyu Fudosan Holdings Corporation","1.07T","1,495.00","-0.40%","1.24T"
"194","4911","Shiseido Company, Limited","1.07T","2,671.00","-2.55%","961.65B"
