No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"70","000426","Inner Mongolia Xingye Silver&Tin Mining Co.,Ltd","90.56B","51.00","2.31%","5.07B"
"71","002709","Guangzhou Tinci Materials Technology Co., Ltd.","88.78B","43.86","-0.57%","14.50B"
"72","000895","Henan Shuanghui Investment & Development Co.,Ltd.","88.76B","25.62","-0.31%","60.26B"
"73","300604","Hangzhou Changchuan Technology Co.,Ltd","87.86B","138.50","0.87%","4.89B"
"74","002311","Guangdong Haid Group Co., Limited","87.82B","53.00","-1.18%","125.83B"
"75","002558","Giant Network Group Co., Ltd.","85.82B","45.40","-1.41%","4.07B"
"76","002353","Yantai Jereh Oilfield Services Group Co., Ltd.","85.74B","84.00","3.83%","15.73B"
"77","000657","China Tungsten And Hightech Materials Co.,Ltd","85.45B","37.50","2.10%","16.25B"
"78","300475","Shannon Semiconductor Technology Co.,Ltd.","83.34B","179.26","5.12%","34.16B"
"79","002532","Tianshan Aluminum Group Co.,Ltd","83.32B","18.00","-3.28%","29.62B"
"80","000988","HGTECH Company Limited","82.24B","82.59","-0.69%","13.75B"
"81","300803","Beijing Compass Technology Development Co., Ltd.","82.11B","135.00","-0.23%","2.17B"
"82","000630","Tongling Nonferrous Metals Group Co.,Ltd.","81.89B","6.12","-0.16%","161.12B"
"83","001979","China Merchants Shekou Industrial Zone Holdings Co., Ltd.","81.87B","9.08","-2.68%","190.70B"
"84","002920","Huizhou Desay SV Automotive Co., Ltd.","81.09B","135.87","1.00%","30.98B"
"85","000708","Citic Pacific Special Steel Group Co., Ltd","79.04B","15.66","-0.19%","106.91B"
"86","000768","AVIC Xi'an Aircraft Industry Group Company Ltd.","78.37B","28.18","-2.15%","44.64B"
"87","002179","Jonhon Optronic Technology Co., Ltd.","78.02B","36.84","0.19%","22.43B"
"88","000975","Shanjin International Gold Co., Ltd.","77.78B","28.03","-1.82%","16.51B"
"89","000938","Unisplendour Corporation Limited","77.42B","27.07","0.67%","97.51B"
"90","002001","Zhejiang NHU Company Ltd.","77.35B","25.29","-1.52%","22.47B"
"91","002414","Wuhan Guide Infrared Co., Ltd.","76.75B","17.97","7.67%","3.93B"
"92","300136","Shenzhen Sunway Communication Co., Ltd.","75.63B","79.40","3.45%","8.81B"
"93","002074","Gotion High-tech Co.,Ltd.","74.41B","41.34","0.93%","39.72B"
"94","000157","Zoomlion Heavy Industry Science and Technology Co., Ltd.","73.70B","8.75","0.92%","48.25B"
"95","001391","Air China Cargo Co., Ltd.","72.52B","5.94","-0.17%","22.99B"
"96","002049","Unigroup Guoxin Microelectronics Co., Ltd.","72.29B","86.04","-0.75%","6.15B"
"97","002156","Tongfu Microelectronics Co.,Ltd","71.11B","46.86","10.00%","26.92B"
"98","301638","CSG Digital Power Grid Research Institute Co.,Ltd.","70.78B","22.26","2.49%","6.09B"
"99","300418","Kunlun Tech Co., Ltd.","70.00B","55.76","-10.51%","7.64B"
"100","000301","Jiangsu Eastern Shenghong Co.,Ltd.","69.55B","10.52","-1.31%","121.53B"
"101","000933","Henan Shenhuo Coal Industry and Electricity Power Co. Ltd","69.51B","31.12","-1.18%","41.06B"
"102","301165","Ruijie Networks Co., Ltd.","68.89B","86.60","1.32%","14.00B"
"103","300857","Sharetronic Data Technology Co., Ltd.","68.53B","198.00","1.12%","10.35B"
"104","000963","Huadong Medicine Co., Ltd","67.68B","38.68","-0.54%","43.09B"
"105","002131","Leo Group Co., Ltd.","67.53B","10.40","4.73%","19.78B"
"106","301656","Suzhou Inovance Automotive Co., Ltd.","67.53B","28.08","2.59%","19.27B"
"107","002128","Inner Mongolia Dian Tou Energy Corporation Limited","67.34B","30.04","-1.67%","30.45B"
"108","002236","Zhejiang Dahua Technology Co., Ltd.","66.77B","20.48","0.39%","32.64B"
"109","300751","Suzhou Maxwell Technologies Co., Ltd.","66.26B","238.00","7.80%","8.27B"
"110","002595","Himile Mechanical Science and Technology (Shandong) Co., Ltd","66.01B","82.66","-0.36%","10.52B"
"111","002080","Sinoma Science & Technology Co.,Ltd.","64.98B","38.72","-0.21%","28.87B"
"112","001965","China Merchants Expressway Network & Technology Holdings Co.,Ltd.","64.76B","9.53","-0.94%","12.34B"
"113","301377","Guangdong Dtech Technology Co., Ltd.","64.73B","157.89","-1.57%","1.91B"
"114","301269","Empyrean Technology Co., Ltd.","64.14B","117.60","1.58%","1.28B"
