No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"4303","NVAH","Land and Houses Public Company Limited","1.27B","0.0925","-0.54%","640.49M"
"4304","44Y","eXp World Holdings, Inc.","1.27B","7.95","-2.24%","3.99B"
"4305","H6Q","Himax Technologies, Inc.","1.27B","7.25","-0.68%","738.36M"
"4306","YSN","secunet Security Networks Aktiengesellschaft","1.27B","196.60","1.45%","433.83M"
"4307","GHK","Great Eagle Holdings Limited","1.27B","1.640","1.23%","1.19B"
"4308","2RG","Europris ASA","1.27B","7.81","-0.38%","1.25B"
"4309","3PE","QCR Holdings, Inc.","1.26B","70.50","-0.70%","286.90M"
"4310","S9L","Salvatore Ferragamo S.p.A.","1.26B","7.80","0.52%","985.91M"
"4311","0QQA","FLEX LNG Ltd.","1.26B","20.95","0.24%","299.19M"
"4312","32A","Aegean Airlines S.A.","1.26B","14.14","-0.28%","1.86B"
"4313","TPW","Trupanion, Inc.","1.26B","31.70","-0.22%","1.19B"
