No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"77","0358","Jiangxi Copper Company Limited","214.38B","47.72","1.58%","573.51B"
"78","1109","China Resources Land Limited","211.50B","29.26","-1.35%","322.74B"
"79","1766","CRRC Corporation Limited","210.04B","6.00","-0.17%","303.53B"
"80","1347","Hua Hong Semiconductor Limited","205.93B","106.80","7.39%","17.75B"
"81","1698","Tencent Music Entertainment Group","204.80B","64.30","-4.67%","34.67B"
"82","1880","China Tourism Group Duty Free Corporation Limited","202.80B","81.95","-0.79%","58.27B"
"83","0763","ZTE Corporation","202.61B","29.34","0.55%","144.02B"
"84","1816","CGN Power Co., Ltd.","202.35B","3.080","1.99%","92.09B"
"85","0788","China Tower Corporation Limited","200.68B","11.48","-0.09%","108.90B"
"86","6066","CSC Financial Co., Ltd.","198.35B","12.68","-0.78%","27.26B"
"87","2338","Weichai Power Co., Ltd.","193.78B","23.54","4.90%","245.15B"
"88","0066","MTR Corporation Limited","193.09B","31.04","0.06%","58.10B"
"89","0669","Techtronic Industries Company Limited","188.96B","103.30","4.87%","118.87B"
"90","0175","Geely Automobile Holdings Limited","186.69B","17.13","-0.75%","317.09B"
"91","2333","Great Wall Motor Company Limited","184.56B","14.05","-0.57%","233.36B"
"92","1776","GF Securities Co., Ltd.","183.46B","17.95","0.34%","36.92B"
"93","0002","CLP Holdings Limited","183.17B","72.75","0.35%","89.73B"
"94","0501","OmniVision Integrated Circuits Group, Inc.","181.80B","113.20","1.43%","31.26B"
"95","1988","China Minsheng Banking Corp., Ltd.","180.54B","3.760","-0.79%","96.60B"
"96","0027","Galaxy Entertainment Group Limited","176.61B","40.34","-0.84%","45.26B"
"97","3606","Fuyao Glass Industry Group Co., Ltd.","176.47B","64.70","0.23%","48.35B"
"98","1898","China Coal Energy Company Limited","175.29B","10.73","-1.20%","174.40B"
"99","9973","Chery Automobile Co., Ltd.","170.54B","29.36","-","330.69B"
"100","6881","China Galaxy Securities Co., Ltd.","166.18B","10.82","-0.28%","47.50B"
"101","2269","WuXi Biologics (Cayman) Inc.","164.43B","39.78","-0.60%","21.98B"
"102","2097","MIXUE Group","159.36B","419.80","-1.22%","31.81B"
"103","6099","China Merchants Securities Co., Ltd.","158.81B","14.97","-1.45%","27.26B"
"104","2423","KE Holdings Inc.","158.70B","45.40","-1.65%","113.13B"
"105","1772","Ganfeng Lithium Group Co., Ltd.","156.17B","63.50","-4.94%","21.43B"
"106","9868","XPeng Inc.","155.43B","80.45","-0.62%","77.13B"
"107","1801","Innovent Biologics, Inc.","155.25B","89.50","0.56%","12.52B"
"108","3908","China International Capital Corporation Limited","154.53B","21.18","-2.22%","29.00B"
"109","0012","Henderson Land Development Company Limited","153.38B","31.62","-0.19%","23.05B"
"110","0753","Air China Limited","152.55B","6.91","-","184.02B"
"111","1038","CK Infrastructure Holdings Limited","150.92B","59.90","1.27%","5.11B"
"112","1113","CK Asset Holdings Limited","150.77B","43.08","-","48.91B"
"113","1928","Sands China Ltd.","150.46B","18.59","-1.80%","55.11B"
"114","0688","China Overseas Land & Investment Limited","143.49B","13.11","-1.06%","198.82B"
"115","2727","Shanghai Electric Group Co., Ltd.","142.45B","4.480","1.82%","133.19B"
"116","0390","China Railway Group Limited","139.21B","4.000","0.76%","1.22T"
"117","6806","Shenwan Hongyuan Group Co., Ltd.","138.73B","3.220","-0.92%","35.67B"
"118","2057","ZTO Express (Cayman) Inc.","138.73B","174.10","-0.34%","51.92B"
"119","1055","China Southern Airlines Company Limited","137.91B","5.56","-1.24%","193.69B"
"120","9660","Horizon Robotics","137.29B","9.37","-0.11%","3.30B"
"121","0670","China Eastern Airlines Corporation Limited","136.58B","5.22","0.39%","148.58B"
"122","0100","MiniMax Group Inc.","135.45B","438.00","22.35%","501.90M"
"123","1800","China Communications Construction Company Limited","135.10B","5.02","0.60%","818.83B"
"124","1171","Yankuang Energy Group Company Limited","134.47B","10.99","1.20%","136.94B"
"125","0003","The Hong Kong and China Gas Company Limited","134.16B","7.21","0.28%","55.49B"
"126","9987","Yum China Holdings, Inc.","132.79B","376.60","0.64%","90.01B"
"127","1972","Swire Properties Limited","130.93B","23.04","1.32%","16.26B"
"128","1818","Zhaojin Mining Industry Company Limited","130.57B","36.50","-0.98%","17.37B"
"129","1929","Chow Tai Fook Jewellery Group Limited","130.51B","13.23","-1.56%","89.23B"
"130","2015","Li Auto Inc.","128.99B","62.80","-2.26%","139.69B"
"131","0914","Anhui Conch Cement Company Limited","128.25B","22.80","-1.47%","92.00B"
"132","1177","Sino Biopharmaceutical Limited","124.24B","6.95","-0.71%","33.49B"
"133","0902","Huaneng Power International, Inc.","119.75B","5.94","-0.34%","255.88B"
"134","0006","Power Assets Holdings Limited","118.92B","56.65","1.52%","817.00M"
"135","1179","H World Group Limited","115.44B","37.70","-2.23%","27.11B"
"136","2208","Goldwind Science&Technology Co., Ltd.","115.37B","14.71","3.52%","75.42B"
"137","6181","Laopu Gold Co., Ltd.","115.36B","654.00","-4.53%","19.00B"
"138","1208","MMG Limited","115.09B","9.48","-2.57%","42.22B"
"139","1093","CSPC Pharmaceutical Group Limited","112.39B","9.83","0.31%","28.65B"
"140","0916","China Longyuan Power Group Corporation Limited","112.12B","6.97","0.14%","29.21B"
"141","9926","Akeso, Inc.","111.46B","121.00","-0.74%","2.75B"
"142","0288","WH Group Limited","110.72B","8.77","1.62%","212.22B"
"143","6990","Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd.","110.48B","473.80","0.72%","1.64B"
"144","0992","Lenovo Group Limited","110.15B","8.88","-1.55%","584.03B"
"145","2513","Knowledge Atlas Technology Joint Stock Company Limited","110.06B","250.00","3.73%","502.29M"
"146","0241","Alibaba Health Information Technology Limited","109.92B","6.80","-5.16%","36.09B"
"147","0083","Sino Land Company Limited","109.83B","11.58","0.96%","8.18B"
"148","1913","Prada S.p.A.","109.72B","42.20","-1.59%","51.84B"
"149","1186","China Railway Construction Corporation Limited","108.32B","5.47","-","1.13T"
"150","9626","Bilibili Inc.","107.10B","260.00","1.80%","32.53B"
"151","9696","Tianqi Lithium Corporation","106.08B","55.40","-2.98%","11.36B"
"152","1519","J&T Global Express Limited","101.44B","11.40","-3.64%","85.53B"
"153","1876","Budweiser Brewing Company APAC Limited","101.12B","7.65","-0.91%","45.38B"
"154","3996","China Energy Engineering Corporation Limited","101.03B","1.150","4.55%","508.33B"
"155","0020","SenseTime Group Inc.","100.66B","2.490","-","4.81B"
"156","1072","Dongfang Electric Corporation Limited","97.33B","26.00","4.92%","83.40B"
"157","1209","China Resources Mixc Lifestyle Services Limited","96.91B","42.46","0.19%","19.25B"
"158","2313","Shenzhou International Group Holdings Limited","96.66B","64.30","0.63%","33.59B"
"159","3958","Orient Securities Company Limited","94.35B","6.93","-0.29%","24.56B"
"160","0836","China Resources Power Holdings Company Limited","94.27B","18.01","-1.10%","104.43B"
"161","9866","NIO Inc.","91.48B","36.64","1.55%","79.28B"
"162","6082","Shanghai Biren Technology Co., Ltd.","91.39B","38.14","-0.16%","390.54M"
"163","0823","Link Real Estate Investment Trust","91.38B","35.16","0.52%","14.15B"
"164","0087","Swire Pacific Limited","90.98B","11.97","-1.40%","88.18B"
"165","0019","Swire Pacific Limited","90.54B","72.45","0.07%","88.18B"
"166","2268","WuXi XDC Cayman Inc.","88.93B","70.85","-2.81%","5.58B"
"167","2238","Guangzhou Automobile Group Co., Ltd.","88.26B","3.810","-0.52%","109.26B"
"168","6823","HKT Trust and HKT Limited","87.88B","11.59","-0.26%","35.41B"
"169","2016","China Zheshang Bank Co., Ltd","87.27B","2.480","-1.59%","41.60B"
"170","6862","Haidilao International Holding Ltd.","87.18B","15.48","-1.02%","45.99B"
"171","0291","China Resources Beer (Holdings) Company Limited","85.19B","25.78","-1.83%","42.55B"
"172","1157","Zoomlion Heavy Industry Science and Technology Co., Ltd.","82.50B","8.37","1.33%","52.73B"
"173","6178","Everbright Securities Company Limited","82.13B","9.01","-0.88%","12.23B"
"174","1138","COSCO SHIPPING Energy Transportation Co., Ltd.","82.12B","12.05","1.18%","24.91B"
"175","0293","Cathay Pacific Airways Limited","82.09B","12.21","-0.65%","109.08B"
"176","3808","Sinotruk (Hong Kong) Limited","81.89B","29.66","3.20%","106.42B"
"177","0168","Tsingtao Brewery Company Limited","81.04B","49.26","-1.87%","35.57B"
"178","0316","Orient Overseas (International) Limited","79.31B","120.10","-4.98%","85.82B"
"179","0285","BYD Electronic (International) Company Limited","79.00B","35.06","-1.30%","196.51B"
"180","0486","United Company RUSAL, International Public Joint-Stock Company","78.70B","5.18","4.65%","109.17B"
"181","3618","Chongqing Rural Commercial Bank Co., Ltd.","77.51B","5.83","-1.69%","25.12B"
"182","0966","China Taiping Insurance Holdings Company Limited","76.98B","21.42","2.78%","113.21B"
"183","1997","Wharf Real Estate Investment Company Limited","76.45B","25.18","2.78%","12.82B"
"184","2196","Shanghai Fosun Pharmaceutical (Group) Co., Ltd.","76.21B","21.08","-1.03%","43.22B"
"185","2688","ENN Energy Holdings Limited","75.83B","68.20","-0.29%","121.56B"
"186","0489","Dongfeng Motor Group Company Limited","74.36B","9.08","0.78%","132.21B"
"187","2099","China Gold International Resources Corp. Ltd.","74.00B","189.10","2.44%","9.48B"
"188","0004","The Wharf (Holdings) Limited","73.47B","24.04","1.01%","10.75B"
"189","6869","Yangtze Optical Fibre And Cable Joint Stock Limited Company","72.55B","50.50","5.87%","15.06B"
"190","2618","JD Logistics, Inc.","71.94B","11.51","-1.46%","224.83B"
"191","2382","Sunny Optical Technology (Group) Company Limited","71.91B","66.25","0.15%","42.83B"
"192","1508","China Reinsurance (Group) Corporation","71.37B","1.680","-0.59%","113.13B"
"193","1308","SITC International Holdings Company Limited","70.79B","26.22","-3.96%","26.86B"
"194","3898","Zhuzhou CRRC Times Electric Co., Ltd.","70.24B","39.72","2.58%","29.89B"
"195","2076","Kanzhun Limited","69.83B","76.00","1.74%","8.76B"
"196","9901","New Oriental Education & Technology Group Inc.","69.16B","44.00","-0.09%","38.88B"
"197","2799","China CITIC Financial Asset Management Co., Ltd.","69.01B","0.860","1.18%","17.92B"
"198","6693","Chifeng Jilong Gold Mining Co.,Ltd.","68.48B","32.18","-0.98%","12.51B"
"199","9698","GDS Holdings Limited","67.81B","41.86","-2.20%","12.24B"
"200","6969","Smoore International Holdings Limited","67.70B","10.93","-2.24%","14.89B"
"201","0322","Tingyi (Cayman Islands) Holding Corp.","67.24B","11.94","0.08%","87.16B"
"202","9880","Ubtech Robotics Corp Ltd","66.94B","133.20","2.62%","1.58B"
"203","1618","Metallurgical Corporation of China Ltd.","66.80B","1.830","-0.54%","518.59B"
"204","1530","3SBio Inc.","66.14B","26.48","-1.78%","9.94B"
"205","0991","Datang International Power Generation Co., Ltd.","66.08B","2.390","1.27%","133.14B"
"206","0960","Longfor Group Holdings Limited","65.84B","9.35","-0.74%","152.72B"
