No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"72","688111","Beijing Kingsoft Office Software, Inc.","163.64B","353.29","-1.95%","5.67B"
"73","603501","OmniVision Integrated Circuits Group, Inc.","162.41B","130.83","1.84%","28.60B"
"74","688008","Montage Technology Co., Ltd.","161.98B","142.59","5.47%","5.13B"
"75","600016","China Minsheng Banking Corp., Ltd.","161.29B","3.760","-0.79%","88.39B"
"76","600050","China United Network Communications Limited","161.01B","5.15","-1.72%","392.45B"
"77","601100","Jiangsu Hengli Hydraulic Co.,Ltd","159.29B","118.80","5.47%","10.24B"
"78","600660","Fuyao Glass Industry Group Co., Ltd.","157.66B","61.20","-0.21%","44.24B"
"79","601898","China Coal Energy Company Limited","156.60B","12.81","-2.96%","159.57B"
"80","600989","Ningxia Baofeng Energy Group Co., Ltd.","151.71B","20.86","-1.00%","44.25B"
"81","600019","Baoshan Iron & Steel Co., Ltd.","151.58B","7.00","-1.41%","311.70B"
"82","601881","China Galaxy Securities Co., Ltd.","148.46B","15.57","-0.70%","43.46B"
"83","603799","Zhejiang Huayou Cobalt Co., Ltd","145.48B","77.63","-1.98%","74.40B"
"84","600999","China Merchants Securities Co., Ltd.","141.88B","16.82","-1.18%","24.94B"
"85","601012","LONGi Green Energy Technology Co., Ltd.","141.56B","18.73","1.24%","74.90B"
"86","600089","TBEA Co., Ltd.","139.21B","27.73","-2.67%","98.39B"
"87","605499","Eastroc Beverage(Group) Co., Ltd.","138.77B","266.86","-1.84%","20.12B"
"88","601995","China International Capital Corporation Limited","138.05B","34.90","-0.68%","26.53B"
"89","601229","Bank of Shanghai Co., Ltd.","136.97B","9.64","-2.43%","41.11B"
"90","603019","Dawning Information Industry Co., Ltd.","136.77B","93.48","0.40%","13.93B"
"91","601111","Air China Limited","136.28B","8.46","-0.94%","168.38B"
"92","688506","Sichuan Biokin Pharmaceutical Co.,Ltd.","130.12B","315.16","-0.90%","2.23B"
"93","601689","Ningbo Tuopu Group Co.,Ltd.","129.80B","74.69","3.16%","28.18B"
"94","601009","Bank of Nanjing Co., Ltd.","129.20B","10.45","-1.51%","40.31B"
"95","601727","Shanghai Electric Group Co., Ltd.","127.26B","9.16","0.66%","121.87B"
"96","601390","China Railway Group Limited","124.48B","5.35","-1.84%","1.12T"
"97","600489","Zhongjin Gold Corp.,Ltd","124.14B","25.61","-2.25%","73.49B"
"98","600029","China Southern Airlines Company Limited","123.20B","7.43","-1.46%","177.23B"
"99","600115","China Eastern Airlines Corporation Limited","122.01B","5.78","-0.86%","135.95B"
"100","601800","China Communications Construction Company Limited","120.70B","8.53","2.40%","749.22B"
"101","600118","China Spacesat Co.,Ltd.","120.50B","101.90","-4.62%","6.58B"
"102","600188","Yankuang Energy Group Company Limited","120.14B","13.71","-1.44%","125.29B"
"103","600018","Shanghai International Port (Group) Co., Ltd.","119.89B","5.15","-1.72%","39.04B"
"104","600905","China Three Gorges Renewables (Group) Co.,Ltd.","118.35B","4.140","0.49%","29.23B"
"105","600585","Anhui Conch Cement Company Limited","114.57B","22.15","-1.73%","84.18B"
"106","600010","Inner Mongolia Baotou Steel Union Co., Ltd.","113.18B","2.500","-1.58%","66.30B"
"107","688271","Shanghai United Imaging Healthcare Co., Ltd.","112.20B","136.83","-1.98%","12.20B"
"108","600926","Bank of Hangzhou Co., Ltd.","111.42B","15.37","-1.98%","32.58B"
"109","601169","Bank of Beijing Co., Ltd.","110.79B","5.24","-1.69%","50.45B"
"110","688783","Xi'an ESWIN Material Technology Co., Ltd.","108.50B","26.87","4.68%","2.62B"
"111","688072","Piotech Inc.","108.41B","385.68","3.67%","6.05B"
"112","600893","AECC Aviation Power Co.,Ltd","108.14B","40.57","-1.70%","44.84B"
"113","600418","Anhui Jianghuai Automobile Group Corp.,Ltd.","107.61B","49.27","3.47%","40.86B"
"114","600011","Huaneng Power International, Inc.","106.99B","7.46","0.81%","234.13B"
"115","600886","SDIC Power Holdings Co., Ltd","105.50B","13.18","0.08%","54.00B"
"116","600015","Hua Xia Bank Co., Limited","102.65B","6.45","-1.38%","65.86B"
"117","600436","Zhangzhou Pientzehuang Pharmaceutical., Ltd","101.78B","168.70","-0.46%","9.78B"
"118","688082","ACM Research (Shanghai), Inc.","101.47B","211.32","3.20%","6.79B"
"119","600160","Zhejiang Juhua Co., Ltd.","101.21B","37.49","0.78%","26.95B"
"120","601006","Daqin Railway Co., Ltd.","100.53B","4.990","-0.80%","76.47B"
"121","601669","Power Construction Corporation of China, Ltd","99.57B","5.78","7.84%","646.71B"
"122","688775","Arashi Vision Inc.","99.19B","247.36","-0.42%","8.23B"
"123","603296","Huaqin Technology Co., Ltd.","98.92B","97.67","2.03%","162.75B"
"124","601186","China Railway Construction Corporation Limited","96.77B","7.53","-1.83%","1.04T"
"125","600415","Zhejiang China Commodities City Group Co., Ltd.","95.36B","17.39","-1.19%","18.19B"
"126","688521","VeriSilicon Microelectronics (Shanghai) Co., Ltd.","93.60B","178.00","-1.90%","2.93B"
"127","601360","360 Security Technology Inc.","91.48B","13.07","-5.29%","8.41B"
"128","601872","China Merchants Energy Shipping Co., Ltd.","90.60B","11.22","-1.49%","25.81B"
"129","688396","China Resources Microelectronics Limited","90.54B","68.20","13.05%","10.72B"
"130","601868","China Energy Engineering Corporation Limited","90.26B","2.490","4.62%","465.12B"
"131","600438","Tongwei Co.,Ltd","88.09B","20.02","-","88.32B"
"132","600039","Sichuan Road & Bridge Group Co.,Ltd","87.89B","10.11","-1.08%","108.64B"
"133","600673","Guangdong HEC Technology Holding Co., Ltd","87.50B","29.15","-2.67%","14.29B"
"134","600875","Dongfang Electric Corporation Limited","86.96B","25.40","1.56%","76.31B"
"135","600584","JCET Group Co., Ltd.","86.59B","48.39","10.00%","39.65B"
"136","688525","BIWIN Storage Technology Co., Ltd.","85.95B","184.00","17.19%","8.25B"
"137","600549","Xiamen Tungsten Co.,Ltd.","85.48B","53.84","3.70%","40.83B"
"138","600795","GD Power Development Co.,Ltd","85.25B","4.780","-1.65%","170.52B"
