No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"79","SHEL","Shell plc","156.64B","2,752.50","0.22%","200.18B"
"80","0VHA","Shopify Inc.","153.60B","157.26","-0.98%","7.96B"
"81","0M2B","Linde plc","153.45B","376.60","-1.36%","24.92B"
"82","0R01","Citigroup Inc.","153.29B","117.60","0.03%","56.26B"
"83","0ADE","AppLovin Corporation","153.20B","689.79","-3.53%","4.69B"
"84","0JPO","KLA Corporation","151.60B","1,569.04","0.59%","9.32B"
"85","0QOS","PepsiCo, Inc.","151.40B","146.26","-0.31%","68.26B"
"86","0QZO","The Walt Disney Company","151.21B","111.43","-1.96%","70.41B"
"87","0QWI","Industria de Diseño Textil, S.A.","150.31B","55.46","-0.65%","34.58B"
"88","0KVV","Airbus SE","147.04B","216.35","0.83%","62.98B"
"89","0R29","Intuitive Surgical, Inc.","143.32B","536.12","-0.63%","7.15B"
"90","0HFB","Amphenol Corporation","140.98B","153.40","-1.06%","15.60B"
"91","0BOE","The Boeing Company","140.63B","246.37","-0.46%","60.08B"
"92","0L3I","The Charles Schwab Corporation","136.37B","104.34","1.29%","17.05B"
"93","0HLE","Banco Santander, S.A.","134.07B","12.17","0.05%","44.23B"
"94","BNC","Banco Santander, S.A.","134.07B","903.00","-0.77%","44.23B"
"95","0QZZ","BlackRock, Inc.","133.98B","1,172.89","1.19%","17.99B"
"96","0R0T","Amgen Inc.","132.72B","331.84","1.51%","26.76B"
"97","0Y0Y","Accenture plc","132.24B","284.99","-0.92%","53.43B"
"98","0A1U","Uber Technologies, Inc.","130.94B","83.68","-0.42%","36.91B"
"99","0LCE","The TJX Companies, Inc.","129.51B","155.92","-0.19%","44.91B"
"100","0R2H","Texas Instruments Incorporated","128.33B","190.99","-1.03%","12.84B"
"101","0QZ3","QUALCOMM Incorporated","128.13B","161.20","-0.67%","33.02B"
"102","0K80","NextEra Energy, Inc.","127.83B","83.55","1.32%","19.56B"
"103","0R2B","Danaher Corporation","126.55B","239.63","0.20%","18.10B"
"104","0M6S","Allianz SE","125.96B","381.00","0.10%","91.67B"
"105","0QZ1","AT&T Inc.","125.64B","23.54","-0.51%","92.61B"
"106","0W2Y","Booking Holdings Inc.","125.01B","5,191.04","0.07%","19.37B"
"107","0HN3","BHP Group Limited","124.65B","64.52","-2.86%","37.42B"
"108","BHP","BHP Group Limited","124.18B","2,419.00","-2.26%","37.42B"
"109","0Q1S","Verizon Communications Inc.","123.94B","39.13","-0.94%","102.29B"
"110","0KYY","S&P Global Inc.","123.34B","545.05","-0.31%","11.17B"
"111","0HHR","Arista Networks, Inc.","122.81B","130.92","-0.88%","6.29B"
"112","0A7I","HDFC Bank Limited","117.96B","36.27","1.62%","22.48B"
"113","0VL8","The Toronto-Dominion Bank","117.95B","129.58","-","34.38B"
